reading_id,room_id,submitted_by,reading_value_kwh,previous_reading_value_kwh,usage_delta_kwh,reading_period_start,reading_period_end,submitted_at,source,verification_status
READ-2015-W21-R-101,R-101,budi.santoso@ampera.local,46.3980,0.0000,46.3980,2015-05-21T15:00:00Z,2015-05-24T23:00:00Z,2015-05-24T23:00:00Z,seed_dataset,verified
READ-2015-W22-R-101,R-101,budi.santoso@ampera.local,150.5950,46.3980,104.1970,2015-05-25T00:00:00Z,2015-05-31T23:00:00Z,2015-05-31T23:00:00Z,seed_dataset,verified
READ-2015-W23-R-101,R-101,budi.santoso@ampera.local,244.3650,150.5950,93.7700,2015-06-01T00:00:00Z,2015-06-07T23:00:00Z,2015-06-07T23:00:00Z,seed_dataset,verified
READ-2015-W24-R-101,R-101,budi.santoso@ampera.local,325.0700,244.3650,80.7050,2015-06-08T00:00:00Z,2015-06-14T23:00:00Z,2015-06-14T23:00:00Z,seed_dataset,verified
READ-2015-W25-R-101,R-101,budi.santoso@ampera.local,416.0580,325.0700,90.9880,2015-06-15T00:00:00Z,2015-06-21T23:00:00Z,2015-06-21T23:00:00Z,seed_dataset,verified
READ-2015-W26-R-101,R-101,budi.santoso@ampera.local,495.3750,416.0580,79.3170,2015-06-22T00:00:00Z,2015-06-28T23:00:00Z,2015-06-28T23:00:00Z,seed_dataset,verified
READ-2015-W27-R-101,R-101,budi.santoso@ampera.local,571.8950,495.3750,76.5200,2015-06-29T00:00:00Z,2015-07-05T23:00:00Z,2015-07-05T23:00:00Z,seed_dataset,verified
READ-2015-W28-R-101,R-101,budi.santoso@ampera.local,650.1700,571.8950,78.2750,2015-07-06T00:00:00Z,2015-07-12T23:00:00Z,2015-07-12T23:00:00Z,seed_dataset,verified
READ-2015-W29-R-101,R-101,budi.santoso@ampera.local,720.8450,650.1700,70.6750,2015-07-13T00:00:00Z,2015-07-19T23:00:00Z,2015-07-19T23:00:00Z,seed_dataset,verified
READ-2015-W30-R-101,R-101,budi.santoso@ampera.local,812.3900,720.8450,91.5450,2015-07-20T00:00:00Z,2015-07-26T23:00:00Z,2015-07-26T23:00:00Z,seed_dataset,verified
READ-2015-W31-R-101,R-101,budi.santoso@ampera.local,898.7100,812.3900,86.3200,2015-07-27T00:00:00Z,2015-08-02T23:00:00Z,2015-08-02T23:00:00Z,seed_dataset,verified
READ-2015-W32-R-101,R-101,budi.santoso@ampera.local,972.4600,898.7100,73.7500,2015-08-03T00:00:00Z,2015-08-09T23:00:00Z,2015-08-09T23:00:00Z,seed_dataset,verified
READ-2015-W33-R-101,R-101,budi.santoso@ampera.local,1038.2500,972.4600,65.7900,2015-08-10T00:00:00Z,2015-08-16T23:00:00Z,2015-08-16T23:00:00Z,seed_dataset,verified
READ-2015-W34-R-101,R-101,budi.santoso@ampera.local,1127.2650,1038.2500,89.0150,2015-08-17T00:00:00Z,2015-08-23T23:00:00Z,2015-08-23T23:00:00Z,seed_dataset,verified
READ-2015-W35-R-101,R-101,budi.santoso@ampera.local,1204.2650,1127.2650,77.0000,2015-08-24T00:00:00Z,2015-08-30T23:00:00Z,2015-08-30T23:00:00Z,seed_dataset,verified
READ-2015-W36-R-101,R-101,budi.santoso@ampera.local,1291.7550,1204.2650,87.4900,2015-08-31T00:00:00Z,2015-09-06T23:00:00Z,2015-09-06T23:00:00Z,seed_dataset,verified
READ-2015-W37-R-101,R-101,budi.santoso@ampera.local,1385.6740,1291.7550,93.9190,2015-09-07T00:00:00Z,2015-09-13T23:00:00Z,2015-09-13T23:00:00Z,seed_dataset,verified
READ-2015-W38-R-101,R-101,budi.santoso@ampera.local,1467.1150,1385.6740,81.4410,2015-09-14T00:00:00Z,2015-09-20T23:00:00Z,2015-09-20T23:00:00Z,seed_dataset,verified
READ-2015-W39-R-101,R-101,budi.santoso@ampera.local,1555.9920,1467.1150,88.8770,2015-09-21T00:00:00Z,2015-09-27T23:00:00Z,2015-09-27T23:00:00Z,seed_dataset,verified
READ-2015-W40-R-101,R-101,budi.santoso@ampera.local,1637.4330,1555.9920,81.4410,2015-09-28T00:00:00Z,2015-10-04T23:00:00Z,2015-10-04T23:00:00Z,seed_dataset,verified
READ-2015-W41-R-101,R-101,budi.santoso@ampera.local,1734.2250,1637.4330,96.7920,2015-10-05T00:00:00Z,2015-10-11T23:00:00Z,2015-10-11T23:00:00Z,seed_dataset,verified
