reading_id,room_id,submitted_by,reading_value_kwh,previous_reading_value_kwh,usage_delta_kwh,reading_period_start,reading_period_end,submitted_at,source,verification_status
READ-2020-W01-R-101,R-101,budi.santoso@ampera.com,49.2923,0.0000,49.2923,2020-01-01T00:00:00Z,2020-01-05T23:00:00Z,2020-01-05T23:00:00Z,seed_dataset,verified
READ-2020-W02-R-101,R-101,budi.santoso@ampera.com,119.3388,49.2923,70.0465,2020-01-06T00:00:00Z,2020-01-12T23:00:00Z,2020-01-12T23:00:00Z,seed_dataset,verified
READ-2020-W03-R-101,R-101,budi.santoso@ampera.com,190.6999,119.3388,71.3611,2020-01-13T00:00:00Z,2020-01-19T23:00:00Z,2020-01-19T23:00:00Z,seed_dataset,verified
READ-2020-W04-R-101,R-101,budi.santoso@ampera.com,260.1146,190.6999,69.4147,2020-01-20T00:00:00Z,2020-01-26T23:00:00Z,2020-01-26T23:00:00Z,seed_dataset,verified
READ-2020-W05-R-101,R-101,budi.santoso@ampera.com,327.8359,260.1146,67.7213,2020-01-27T00:00:00Z,2020-02-02T23:00:00Z,2020-02-02T23:00:00Z,seed_dataset,verified
READ-2020-W06-R-101,R-101,budi.santoso@ampera.com,399.2067,327.8359,71.3708,2020-02-03T00:00:00Z,2020-02-09T23:00:00Z,2020-02-09T23:00:00Z,seed_dataset,verified
READ-2020-W07-R-101,R-101,budi.santoso@ampera.com,468.0428,399.2067,68.8361,2020-02-10T00:00:00Z,2020-02-16T23:00:00Z,2020-02-16T23:00:00Z,seed_dataset,verified
READ-2020-W08-R-101,R-101,budi.santoso@ampera.com,537.0131,468.0428,68.9703,2020-02-17T00:00:00Z,2020-02-23T23:00:00Z,2020-02-23T23:00:00Z,seed_dataset,verified
READ-2020-W09-R-101,R-101,budi.santoso@ampera.com,604.9154,537.0131,67.9023,2020-02-24T00:00:00Z,2020-03-01T23:00:00Z,2020-03-01T23:00:00Z,seed_dataset,verified
READ-2020-W10-R-101,R-101,budi.santoso@ampera.com,663.7367,604.9154,58.8213,2020-03-02T00:00:00Z,2020-03-08T23:00:00Z,2020-03-08T23:00:00Z,seed_dataset,verified
READ-2020-W11-R-101,R-101,budi.santoso@ampera.com,720.5952,663.7367,56.8585,2020-03-09T00:00:00Z,2020-03-15T23:00:00Z,2020-03-15T23:00:00Z,seed_dataset,verified
READ-2020-W12-R-101,R-101,budi.santoso@ampera.com,775.6720,720.5952,55.0768,2020-03-16T00:00:00Z,2020-03-22T23:00:00Z,2020-03-22T23:00:00Z,seed_dataset,verified
READ-2020-W13-R-101,R-101,budi.santoso@ampera.com,834.5953,775.6720,58.9233,2020-03-23T00:00:00Z,2020-03-29T23:00:00Z,2020-03-29T23:00:00Z,seed_dataset,verified
READ-2020-W14-R-101,R-101,budi.santoso@ampera.com,890.2718,834.5953,55.6765,2020-03-30T00:00:00Z,2020-04-05T23:00:00Z,2020-04-05T23:00:00Z,seed_dataset,verified
READ-2020-W15-R-101,R-101,budi.santoso@ampera.com,952.0221,890.2718,61.7503,2020-04-06T00:00:00Z,2020-04-12T23:00:00Z,2020-04-12T23:00:00Z,seed_dataset,verified
READ-2020-W16-R-101,R-101,budi.santoso@ampera.com,1011.3896,952.0221,59.3675,2020-04-13T00:00:00Z,2020-04-19T23:00:00Z,2020-04-19T23:00:00Z,seed_dataset,verified
READ-2020-W17-R-101,R-101,budi.santoso@ampera.com,1068.6094,1011.3896,57.2198,2020-04-20T00:00:00Z,2020-04-26T23:00:00Z,2020-04-26T23:00:00Z,seed_dataset,verified
